T,TM,Tm,SLP,H,VV,V,VM,PM2.5
15.9,22.4,8.4,1017.6,66,2.4,7.2,16.5,332.7083333333333
15.2,22.6,6.6,1018.2,56,1.9,8.9,22.2,279.59999999999997
12.7,19.5,8,1017.6,69,1.3,8.3,18.3,179.11666666666667
16.4,23,7.7,1017.4,54,1.9,7.2,14.8,166.29999999999998
12.7,23.4,6.8,1016.3,72,1,2.2,7.6,78.25416666666666
15.2,24.4,7,1013.3,73,1.1,3.7,11.1,54.958333333333336
15.6,24.6,10.7,1015.7,81,1.3,2.8,9.4,54.791666666666664
17.1,23.2,9,1017.1,69,1.8,5.9,11.1,93.375
17.6,24,10.1,1014.8,67,1.4,5.9,14.8,103.0
18.1,26,8.6,1011.9,64,1.4,2,7.6,211.125
19.6,26.8,10.2,1011.5,55,2.3,6.1,14.8,192.29166666666666
19.2,26.8,10,1012.6,59,2.1,0.7,5.4,152.0
17.2,26,11.5,1014.7,65,2.3,5.7,14.8,132.20833333333334
17.7,24.4,9.7,1017,64,2.1,8,18.3,127.70833333333333
17.4,24.4,10.1,1018.9,61,2.3,6.1,11.1,109.33333333333333
18.2,24,9.2,1020,56,2.4,5.4,14.8,0.0
18.7,25,10.3,1018.7,62,2.3,3.7,7.6,0.0
19.4,25.6,15,1016.9,79,1.3,5.2,13,0.0
23.1,30,15.6,1014.9,71,1.4,4.1,9.4,56.458333333333336
23.7,29.8,18.7,1014,75,1.4,11.1,18.3,135.83333333333334
20.9,27.8,15.8,1014.4,62,2.6,17.2,27.8,122.5
21,28,14,1013.9,55,2.6,15.2,33.5,119.33333333333333
21.2,29,13.4,1012.2,52,3.5,9.8,18.3,67.125
21.6,30,11,1012.6,57,2.1,2.4,7.6,46.708333333333336
22.6,30.3,11.5,1015.4,57,2.4,5.4,11.1,69.66666666666667
22.7,30.4,12.8,1017.7,56,2.6,2.4,7.6,79.83333333333333
22.7,30.6,13,1018.4,58,2.4,3.3,7.6,62.708333333333336
23.1,30.1,13.5,1018.5,63,1.9,3.7,11.1,81.04166666666667
23.8,31,14.5,1017.8,64,1.9,3.7,9.4,21.208333333333332
25,31,15,1015.7,59,1.9,1.7,5.4,1.9166666666666667
24.9,32.4,15.2,1015,57,1.9,1.7,9.4,1.8333333333333333
26.8,33.4,15.7,1014.5,52,2.4,4.6,9.4,1.7916666666666667
27.3,34,17.6,1012.1,45,2.4,6.1,11.1,31.625
23.4,34.1,17,1012.5,60,2.4,10.6,20.6,112.08333333333333
22.8,30.1,15.5,1012.9,68,2.9,5.2,14.8,105.83333333333333
23.7,29.1,15.8,1011.9,67,2.1,5.2,11.1,117.58333333333333
23.4,29.1,17,1011.4,63,2.1,6.7,16.5,122.70833333333333
24.3,29,15.6,1011.7,56,1.9,10,18.3,76.54166666666667
25.5,31,15.8,1012.7,58,2.1,8,14.8,159.08333333333334
25,33,19,1012.4,68,2.1,6.5,14.8,147.95833333333334
24.5,33.5,17.6,1009.6,67,2.3,9.4,18.3,111.95833333333333
24.3,31,16.8,1010.8,66,3.4,6.9,14.8,59.208333333333336
22.4,29.5,17.1,1014.1,68,3.4,6.3,16.5,77.20833333333333
24.1,29.2,14.5,1014.4,59,2.4,8.5,18.3,87.83333333333333
23.9,29.5,15.6,1012.3,55,2.3,10.9,16.5,90.04166666666667
26.3,32,16.8,1009.9,52,2.7,6.9,16.5,63.916666666666664
26.2,32.2,20,1009.3,63,2.6,6.7,14.8,98.70833333333333
26.8,33,19,1008.8,61,2.3,3.5,11.1,123.70833333333333
27.1,33,19,1009.9,61,2.6,2.8,13,64.79166666666667
26.5,32.8,19.5,1010.5,45,2.9,12.2,25.9,62.875
24.9,31.6,17,1009.1,42,2.7,22,38.9,88.375
27.2,32.5,18.9,1009.5,43,3.1,9.8,25.9,77.66666666666667
28.1,36,16,1012.7,45,2.6,3.1,13,52.333333333333336
29.8,36.2,18.2,1012.7,52,2.4,3.3,7.6,52.041666666666664
24.7,36.6,19.7,1012.8,66,2.4,9.4,14.8,128.33333333333334
26.2,32,19.5,1012.5,56,3.1,9.1,14.8,87.58333333333333
25.9,32,16.5,1012.3,55,2.9,6.5,14.8,2.9166666666666665
27.2,32,18.6,1010.8,49,2.7,7.2,14.8,0.0
29.6,35,18.5,1010.8,39,2.4,7,14.8,0.0
29.9,37,19.5,1008.3,39,2.7,4.4,9.4,23.208333333333332
30.4,37.5,21.6,1006.3,41,2.6,12,27.8,15.166666666666666
32.3,39,21.5,1007.3,39,3.4,5.4,13,21.25
33.4,39.1,24.8,1008,47,2.1,2.6,7.6,25.75
32.8,39.4,22.9,1006.1,35,2.7,8,16.5,52.416666666666664
32.2,38.8,25.6,1006.1,33,2.9,9.3,16.5,89.0
31.3,37,23.5,1006.2,35,2.7,3.5,7.6,81.83333333333333
29.5,36.9,21.5,1007.2,41,2.3,11.3,16.5,105.33333333333333
29.3,36,18.8,1008.8,37,3.2,4.8,11.1,117.75
30.9,37,19,1008.9,33,2.6,6.9,14.8,20.791666666666668
32.2,37,25.2,1008,34,2.6,5.2,9.4,64.79166666666667
29.7,36.6,21.1,1008.8,38,2.7,16.1,22.2,87.375
30.2,35.1,22,1005.7,40,3.1,19.4,33.5,84.5
31.6,38,23.2,1002.6,30,3.1,18.7,35.2,46.916666666666664
33.1,39,24,1003,26,2.6,10.4,24.1,104.625
33.6,40,23,1003.8,27,2.4,9.8,18.3,109.625
34.6,42,29.5,1001.9,28,2.4,9.4,18.3,77.04166666666667
34.6,40.1,28.2,1003.9,33,2.6,7.2,18.3,110.875
33.9,40.2,26,1005,36,2.1,4.6,14.8,42.958333333333336
34,40.6,26.3,1005.5,29,2.6,13.9,22.2,0.0
33.9,39.6,25.8,1002.7,28,2.7,15.7,29.4,30.875
33.3,39.4,24.8,1000.7,28,3.1,8.3,18.3,75.58333333333333
31.8,37,21.6,1001.3,23,3.1,10.2,18.3,106.95833333333333
31.3,37,19.9,1002.4,23,2.9,10.2,27.8,120.875
31.8,39,20.4,1004.9,24,2.6,7,16.5,79.91666666666667
33.4,40,21.2,1006.3,27,2.6,3.7,14.8,0.0
33.2,40.3,22.2,1005.1,29,2.3,5,14.8,0.0
34,40.7,22.2,1004.6,24,2.4,11.9,22.2,0.0
34.1,40.2,21.7,1004.8,24,2.1,9.1,18.3,38.5
33.1,40,22.2,1003.8,28,2.1,5.2,14.8,94.75
34.7,41.5,22,1001.7,24,2.3,8.5,16.5,142.5
38,44,23.8,1001.1,20,2.6,9.6,29.4,133.375
35.4,44,28,1003.2,35,2.7,6.5,18.3,102.41666666666667
33.8,40,27.6,1003.2,36,2.3,10.4,24.1,101.75
30.6,39.9,22,1006.8,47,2.4,11.3,24.1,117.95833333333333
31.4,35.4,25,1006,42,2.6,4.3,13,147.83333333333334
33.2,38,25,1004.6,41,2.7,4.6,9.4,158.29166666666666
35.1,39.2,25.3,1005.1,40,2.4,7.2,11.1,149.58333333333334
33.8,39.8,27.6,1005.5,44,2.4,9.8,16.5,107.29166666666667
33.9,38.4,25,1006,43,5.8,10.6,27.8,96.25
32.6,38.7,24,1005.1,51,2.9,7.8,16.5,76.25
35.4,40,26.5,1001.2,43,2.4,5,14.8,101.5
37.1,42,27.5,1000.7,30,2.9,8.3,18.3,106.5
36.5,43,27,1001.8,35,2.6,4.1,22.2,128.125
37.3,42.4,27.4,1002.4,32,2.6,4.8,14.8,108.0
37.2,43,26.4,999.9,26,2.9,8.5,14.8,125.625
37.4,43.4,27.9,997.9,28,3.2,9.6,18.3,137.16666666666666
37.6,43.3,26,997.3,29,3.7,8.5,18.3,101.95833333333333
37.3,43.7,28.6,997.4,44,2.6,9.4,22.2,98.41666666666667
37.3,42.8,31.2,996.2,49,2.6,8.3,14.8,94.375
36.2,41.5,30.7,995.3,50,2.9,10.9,18.3,118.5
36.7,43,28.8,995.8,49,2.7,6.5,11.1,89.54166666666667
32.2,42.7,23.6,998.5,49,2.4,15,37,87.25
30.9,40.9,23.1,999.6,58,2.6,8,14.8,107.625
32.9,39,27.4,996.6,50,2.4,9.4,27.8,110.41666666666667
34.6,39,26,998.4,49,2.4,6.7,16.5,95.83333333333333
37.4,41,30.6,998.8,31,1.9,14.1,27.8,93.5
36.4,41.2,25.7,998.3,39,2.1,15,24.1,97.625
31.5,41.5,24,1000.3,60,2.6,11.7,18.3,76.95833333333333
26.9,36.7,23,1002.6,76,2.1,9.4,22.2,72.25
32.7,37.5,24.7,1002.3,55,2.4,7.4,18.3,38.666666666666664
36,40,26.6,1001.7,46,3.1,9.1,22.2,45.375
37.7,42,30.7,1000.9,37,2.6,11.9,22.2,65.16666666666667
37.6,43,28.7,1001.2,42,2.4,2.8,11.1,67.08333333333333
38.2,43,30,1001.1,45,2.6,3.1,11.1,80.04166666666667
36.4,42.9,30.6,1001.5,56,2.6,8.7,24.1,74.16666666666667
35.4,42.6,30.2,1002,50,2.6,10.9,27.8,66.08333333333333
34.6,40.3,28.7,1001.1,51,2.7,10.2,25.9,77.66666666666667
35.9,41,28.6,998.6,50,2.6,8.5,18.3,70.25
35.7,41.2,30,997.6,48,2.3,9.3,27.8,75.125
36.1,42,28.4,997.9,46,2.3,10.2,37,37.166666666666664
33.4,41.9,25.4,998.4,52,2.7,8.7,27.8,57.375
35.5,39,26.9,998,41,2.6,9.3,14.8,56.291666666666664
36,41,27.6,997.7,46,2.4,12.8,25.9,77.0
32.6,40.7,26,996.9,59,2.6,11.9,29.4,32.958333333333336
34.7,38,30.5,995.4,55,2.4,10.4,18.3,40.833333333333336
33.6,38.4,28,998.3,55,3.2,11.5,22.2,42.541666666666664
34.2,39,25.8,998.5,55,3.2,7.4,11.1,93.08333333333333
35.9,39.5,30.1,1000.1,55,2.7,10.9,16.5,80.625
35.6,40,30,1000.7,57,3.1,9.4,25.9,90.70833333333333
31.1,40.1,26,999.8,74,2.4,7.6,14.8,97.29166666666667
32.9,38.6,27,999.7,64,2.4,8.9,16.5,79.83333333333333
33.2,37.8,26.8,1000.9,63,2.6,7,14.8,87.75
33.8,37.5,27.6,999.5,56,2.4,5.9,16.5,63.5
36.5,40,29.2,997.6,50,2.4,7.8,14.8,50.708333333333336
35.5,39.9,31.2,999.7,60,2.4,9.8,18.3,40.375
34.9,39.6,29.6,999.6,61,2.4,7.8,14.8,49.416666666666664
34.4,39.4,26,998.3,63,2.3,8,14.8,43.666666666666664
30.8,39.6,25,1000.8,77,2.1,5.4,13,52.166666666666664
35.4,39,27.2,1000.1,61,2.6,8.5,18.3,49.583333333333336
35.4,39.7,28.2,997.2,61,2.4,6.9,14.8,61.875
32.2,39.8,25.4,995.4,73,2.3,8.3,14.8,0.0
28.4,36.6,24.4,998.1,82,2.4,5.2,9.4,29.666666666666668
29.6,32,25.7,997.6,80,2.3,2,7.6,47.75
30.7,34.2,24.8,996.5,78,2.1,3.3,11.1,37.708333333333336
33.2,36.2,27.9,994.8,70,2.3,5.4,13,33.083333333333336
33.1,36.5,28.5,996.2,67,2.3,8.9,14.8,49.125
33.6,36.7,28.8,996.7,66,5.8,5.9,11.1,43.666666666666664
30.7,36.9,28.8,996.8,78,2.3,5.4,27.8,29.833333333333332
33.3,37,27.8,996.2,68,2.6,6.7,11.1,29.666666666666668
32.6,36.8,28.8,995.4,69,2.4,4.6,14.8,56.708333333333336
31.6,36.7,28.7,997.1,74,2.3,8.1,13,39.25
30.6,35,28.6,998.4,81,2.4,5.6,18.3,35.208333333333336
31.1,34.2,27.8,997.8,78,2.6,6.9,24.1,37.625
30.4,35.4,26.7,997.8,82,2.1,5.2,14.8,41.458333333333336
31,35.2,26,997.9,80,2.4,7.2,18.3,53.125
27.1,32.7,24.6,999.5,95,1.9,4.4,9.4,54.875
28.1,30,26.2,1000.7,87,2.3,6.7,11.1,65.75
27.6,31.2,25,1000,93,1.9,6.9,37,38.583333333333336
32.4,35.2,26.2,999,72,2.9,13.5,25.9,36.0
34.1,37,28.5,998.5,63,3.2,13,22.2,70.58333333333333
34.1,37.2,29,998.4,61,2.6,11.5,22.2,52.458333333333336
34.1,37.5,29.5,998.6,59,3.2,8.7,14.8,36.583333333333336
31.9,37.3,28.4,1000.8,69,2.9,7.8,13,45.583333333333336
31.4,35,28.4,1001.8,75,2.3,2.4,11.1,33.166666666666664
31.9,35,28.3,1001.3,72,2.1,2.8,9.4,38.25
30.3,35,27.6,1002.6,83,2.3,6.5,16.5,26.583333333333332
28.3,35.8,26.8,1003.9,89,1.6,4.3,11.1,57.583333333333336
29.5,33,26,1001.9,82,1.9,5.2,14.8,30.708333333333332
27.5,33.5,26,1000.4,93,1.4,2.4,22.2,35.375
27.3,30,26,1000.6,94,1.8,1.9,9.4,15.416666666666666
29.2,31,26,1000,85,1.8,4.6,13,41.375
29.1,32.6,26.4,998.6,85,1.8,5.9,13,25.541666666666668
30.9,35,26,997.4,73,2.6,6.5,11.1,28.375
32.6,36,26.2,997.8,66,3.4,5.6,9.4,40.333333333333336
33.4,37,28.5,998.1,65,3.2,7.8,14.8,39.333333333333336
33.7,37,28.6,999,65,3.2,4.3,11.1,41.833333333333336
30,36.7,27.6,1000.1,78,2.3,6.9,16.5,50.333333333333336
33.3,36,26.4,999.7,67,3.2,7.8,18.3,35.375
33.4,36.5,28.6,999.9,66,2.9,9.8,16.5,31.916666666666668
31.2,36.7,28,997.8,75,2.7,9.1,14.8,36.791666666666664
31.4,35.5,27.5,999,74,2.6,10,18.3,33.291666666666664
28.1,35.3,26.4,1001.3,90,1.6,8,14.8,35.5
28.9,33,26.2,1001.1,86,1.6,3.7,14.8,35.291666666666664
29.9,34,25.5,1000.2,80,1.4,3.3,11.1,26.833333333333332
29,33.7,26,999.1,85,2.1,6.5,22.2,21.125
31.3,34.5,27,997.6,71,3.2,12.2,22.2,18.0
31.1,35,26.4,996.7,69,2.9,13.9,24.1,28.041666666666668
29.8,35.2,26.4,998.7,75,2.7,5.6,11.1,34.875
29.6,33,26.4,998.9,82,1.8,1.7,7.6,35.708333333333336
31.7,34,26.4,999,71,2.6,2,11.1,43.583333333333336
32.6,36,27.6,999.6,70,2.7,10.6,20.6,46.041666666666664
31.2,35.9,26.1,1000.4,71,3.2,8.7,18.3,28.75
31.6,35.4,26.1,1002.4,69,2.9,8,18.3,70.54166666666667
31.4,35.5,27.7,1002,72,3.2,6.1,9.4,58.541666666666664
29.9,33.7,28,1002.7,81,2.3,10.9,35.9,82.875
31,35,26.8,1004.1,76,2.6,6.1,14.8,64.91666666666667
30.8,35.2,26.8,1005,76,2.7,3.7,18.3,30.666666666666668
32.8,37,27.5,1004.9,71,2.7,7.4,14.8,41.041666666666664
29.1,37,25.6,1003.3,84,2.1,5.7,14.8,45.25
29.5,34.7,25,1002,80,2.4,2.2,14.8,34.416666666666664
27.3,33.3,24,1002.4,89,2.1,7.8,27.8,33.166666666666664
27.8,31,25.2,1001.3,88,2.4,4.6,7.6,30.625
30.7,34,25.5,1000.1,73,2.6,13.7,22.2,30.333333333333332
30.7,34,25,1000.5,65,3.4,12,27.8,31.75
30.9,34.4,25.5,1003,65,3.4,11.9,20.6,34.208333333333336
30.7,35,25.2,1003.1,65,3.5,14.3,28.7,11.625
30.7,34.5,25.4,1003.4,62,3.4,15.7,25.9,0.0
31.1,35,25,1003.1,64,3.2,10.4,18.3,0.0
31.3,35,26,1004.6,63,3.2,11.5,18.3,0.0
31.4,35.6,26.5,1004.1,60,3.2,12.6,20.6,0.0
31.1,35.5,25.5,1004.2,60,3.4,8.9,18.3,26.166666666666668
31.3,35,25.4,1005,60,2.9,10.2,22.2,76.875
31.4,36,26.7,1006.7,65,3.1,8.3,13,83.45833333333333
30.4,35.6,25.7,1006.5,72,2.9,4.3,14.8,71.66666666666667
31.4,36,25,1003.7,62,3.2,3.7,13,53.375
31.6,36.1,26,1003.9,64,2.4,2.6,7.6,56.083333333333336
32,36,26,1004.6,62,2.7,2.8,9.4,69.70833333333333
31.7,37.1,26,1003.2,63,2.9,1.7,5.4,62.375
32.5,37.2,25.3,1003,59,3.1,1.7,7.6,24.875
32.6,37.4,27,1005.8,63,2.6,6.3,13,37.333333333333336
29.7,37.4,26,1007,71,2.7,7.6,18.3,50.125
30.6,35,25,1004.1,68,2.9,3.1,7.6,46.541666666666664
30.7,34.9,26.4,1003.5,70,2.7,4.8,9.4,43.958333333333336
30.7,34.8,25.6,1004.5,66,2.6,3.3,11.1,41.5
31.4,35.2,26,1005.8,62,3.1,2,7.6,48.916666666666664
31.7,36,25.2,1004.7,59,2.9,2.2,7.6,76.91666666666667
31.9,36.5,26.6,1004.7,65,2.3,4.4,9.4,34.458333333333336
31.8,35.4,26.5,1005.2,63,2.6,2,5.4,30.333333333333332
31.9,36,26.5,1007.2,66,2.3,2.4,7.6,26.666666666666668
32.4,36.4,27.5,1007.8,65,3.1,3.5,11.1,29.0
30.1,36.1,25.2,1005.4,73,1.8,5.6,18.3,62.708333333333336
28.6,35.7,24.5,1004.8,74,2.3,3.1,11.1,65.08333333333333
30.2,33.5,25.5,1006.5,69,1.9,3,9.4,61.708333333333336
30.3,35,24.7,1007.3,62,2.3,7.6,18.3,60.541666666666664
29.9,35,23,1006.3,60,2.6,6.7,24.1,41.583333333333336
30,36,22.5,1004.9,63,2.6,3,7.6,50.916666666666664
29.3,35.6,24.3,1005.7,55,2.9,4.4,9.4,40.958333333333336
28.6,34,20.7,1006,54,2.4,7.4,16.5,60.666666666666664
28.6,35,20.4,1006.4,50,3.1,10.6,22.2,80.04166666666667
28.6,35,19.8,1008.2,49,3.7,11.5,22.2,82.83333333333333
28.3,35.2,19,1009.4,53,3.4,9.1,35.9,95.25
26.8,35.2,17.5,1010.4,57,2.6,5.7,13,115.83333333333333
27.4,34,17.5,1010.9,52,3.1,5.9,18.3,149.66666666666666
27.2,34.2,18.2,1008.7,52,2.9,6.9,21.7,126.16666666666667
27.6,35,17.6,1007.6,53,3.1,5.9,13,136.70833333333334
27.7,35,18.6,1006.9,52,3.1,7.8,28.7,160.66666666666666
27.3,35,19,1007.8,55,3.2,7.2,27.8,173.58333333333334
28,35,19.6,1008.7,54,3.2,12.4,24.1,168.625
26.3,34.7,19.2,1008.4,60,2.3,9.4,18.3,174.66666666666666
27.6,35,18.9,1007.8,54,2.7,10.6,29.4,245.66666666666666
27.2,34.5,19.5,1009,58,3.1,11.1,25.9,261.6666666666667
26.4,33,18.4,1012.4,60,2.6,4.6,14.8,272.4166666666667
25.4,33.4,16.5,1014.3,62,1.6,5,14.8,226.29166666666666
24.6,32.3,16.1,1012.3,61,1.3,7,14.8,291.7083333333333
24.4,32,15,1013.2,66,1.3,1.5,7.6,207.33333333333334
24.2,32.5,15,1015.3,72,1.6,1.9,7.6,149.625
23.7,31.7,15.5,1017.7,69,1,1.3,5.4,99.70833333333333
23.4,31.1,14.2,1016,60,1.1,3,7.6,217.375
22.6,30.6,15.8,1015.4,69,0.5,1.1,5.4,309.375
23.9,32,14.5,1015.6,63,1,2,5.4,166.91666666666666
23.4,32,14.5,1012,61,1,3.3,16.5,429.1666666666667
22.3,31.4,15.4,1010.2,68,0.3,4.6,13,332.4583333333333
21.8,30,13.5,1011.6,64,0.3,2,9.4,321.5416666666667
23.2,30.2,14,1012.6,55,1.1,7.4,18.3,278.0
22.5,29.5,15.6,1013.3,56,1.1,11.7,22.2,192.33333333333334
21.7,30,12.2,1014.5,52,1.1,6.3,16.5,235.33333333333334
22,30,11.5,1013.5,52,1.1,2.8,7.6,153.29166666666666
22.3,30.1,12.1,1015.5,60,1,2.4,11.1,224.16666666666666
23.1,30.1,14.1,1016.1,58,1.3,4.3,13,196.75
22.2,30.2,13.6,1015.6,63,1.6,1.5,3.5,221.54166666666666
20.8,29.3,12.1,1016.7,58,1.8,3.5,9.4,210.54166666666666
20.7,28.8,10.6,1017.8,56,1.8,6.1,16.5,251.20833333333334
20.8,28,11.5,1016.3,54,1.8,10.7,24.1,172.83333333333334
20.3,28,12.3,1014.5,57,1.9,7.6,18,166.70833333333334
19.8,29,10.1,1012.7,60,2.1,2.8,9.4,130.70833333333334
20.8,29,10.5,1013.9,61,1.8,2.6,7.6,194.70833333333334
22,31,10.7,1013.2,56,1.8,2.4,14.8,250.875
21.4,30.6,10.8,1011.9,54,2.6,7.8,18.3,274.875
20.7,28.9,10.5,1015,52,1.6,7.4,18.3,134.45833333333334
23.4,30,14.6,1012.2,33,2.6,14.1,27.8,110.0
24.2,31,16.5,1013,36,2.9,13.9,22.2,160.0
22.7,30.8,13.6,1012,38,3.4,11.9,20.6,217.91666666666666
21.4,29.6,12.7,1013.7,40,2.6,8,20.6,184.20833333333334
18.9,29.2,9.7,1015.4,59,2.3,0.9,5.4,130.91666666666666
19.4,28.5,11,1016.8,80,1,3.9,9.4,118.91666666666667
19.2,25.9,11.9,1017,84,0.8,2.6,9.4,176.375
18.9,25.8,11.5,1017.9,77,0.6,5,13,185.95833333333334
19.3,27,11.7,1019.6,57,1.8,5.2,11.1,195.375
18.4,27,8.4,1019.2,54,2.4,4.6,11.1,151.04166666666666
18.4,26.6,8.8,1017.8,55,2.1,5,13,170.875
17.7,26.2,9.4,1018.5,73,0.8,2,7.6,239.125
17.8,24.8,11.2,1017,74,0.6,0.7,7.6,365.2916666666667
15.8,24.3,8.7,1015.8,77,0.8,1.7,7.6,312.2083333333333
18.2,27,7.7,1013.7,72,0.6,1.1,7.6,237.625
16.2,26.6,11.2,1013.6,84,0.6,4.8,9.4,179.33333333333334
19.3,26,12.4,1013.7,71,1.1,4.6,9.4,122.54166666666667
19.3,27,11,1014,62,1.6,3.5,14.8,121.33333333333333
19,27.1,10.5,1015.1,61,1.6,3.3,9.4,202.875
18,26.6,10.5,1017.1,61,1.9,8,14.8,260.1666666666667
17.2,24.2,10,1017.2,58,1.6,9.3,22.2,403.9583333333333
15.5,24.3,7.9,1017.8,61,1.9,3.1,11.1,455.5833333333333
16.4,24.4,8.2,1018.1,66,1.1,5.6,25.9,382.7083333333333
15.6,23,7.2,1018.5,64,1,5.9,11.1,277.7083333333333
16.3,23,6.6,1016.9,61,1,9.4,20.6,284.1666666666667
18.1,24,11.2,1015.4,56,1.8,15.9,25.9,288.4166666666667
17.8,25,10.7,1015.8,54,2.3,9.4,22.2,256.8333333333333
16.3,25.3,7.5,1016.3,57,1.8,5.4,14.8,175.75
16.3,25,7.8,1013.7,69,0.6,1.7,9.4,180.79166666666666
16.9,25.2,8,1011,78,1,5.4,13,166.91666666666666
13.9,24.5,11.4,1015,95,0.6,8.7,14.8,169.0
16.3,23,9.8,1016.9,78,1.1,7.4,16.5,186.04166666666666
16.3,23.4,9,1017.3,68,1.3,7.8,18.3,185.58333333333334
16.5,25,7.5,1016.6,66,1.6,3,11.1,114.08333333333333
15.2,25.1,7.8,1015.6,87,0.6,6.3,11.1,140.45833333333334
